EventNumber DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle1_E DecayParticle1_pt DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_px DecayParticle2_py DecayParticle2_pz DecayParticle2_E DecayParticle2_pt
0 W+ 1 80.4 39.56 21.516 27.755 96.2415 45.0326 W- 1 80.4 52.44 76.284 51.545 133.005 92.57
1 Z 1 91.2 -4.294 -7.875 -12.654 92.5096 8.96962 Z 1 91.2 -7.006 -23.625 -21.546 96.8963 24.6419
2 b 0 4.18 -12.33 -16.281 24.276 31.9984 20.423 b 0 4.18 -15.07 -44.019 62.424 77.968 46.5272
3 b 0 4.18 -14.625 0.962 -19.968 25.1199 14.6566 b 0 4.18 -4.875 95.238 -63.232 114.498 95.3627
4 tau+ 0 1.77 20.971 0.432 7.8 22.4487 20.9754 tau- 0 1.77 10.329 4.368 24.7 27.1844 11.2146
5 b 0 4.18 -19.602 1.558 -9.398 22.1915 19.6638 b 0 4.18 -69.498 2.242 -16.002 71.474 69.5342
6 b 0 4.18 33.36 27.36 4.272 43.5566 43.1446 b 0 4.18 50.04 48.64 13.528 71.2063 69.7843
7 W+ 1 80.4 6.034 -48.565 -33.744 99.9889 48.9384 W- 1 80.4 80.166 -39.735 -55.056 132.291 89.4732
8 b 0 4.18 65.529 -10.307 0.568 66.4686 66.3346 b 0 4.18 15.371 -83.393 6.532 85.1516 84.7978
9 tau+ 0 1.77 -9.12 -0.455 -0.465 9.31292 9.13134 tau- 0 1.77 -0.38 -45.045 -15.035 47.5224 45.0466
10 W+ 1 80.4 -0.118 -1.44 0.052 80.413 1.44483 W- 1 80.4 -0.082 -8.16 0.148 80.8132 8.16041
11 b 0 4.18 -68.67 -0.056 1.905 68.8235 68.67 b 0 4.18 -7.63 -0.744 61.595 62.2108 7.66618
12 b 0 4.18 16.388 -1.898 31.68 35.962 16.4975 b 0 4.18 31.812 -93.002 17.82 99.982 98.2923
13 W+ 1 80.4 -21.608 8.478 -3.294 83.7484 23.2117 W- 1 80.4 -7.992 85.722 -15.006 118.75 86.0938
14 b 0 4.18 55.44 5.31 -7.58 56.3624 55.6937 b 0 4.18 36.96 12.39 -68.22 78.6829 38.9815
15 b 0 4.18 -4.326 -15.552 -20.503 26.4277 16.1425 b 0 4.18 -57.474 -8.748 -50.197 76.922 58.1359
16 b 0 4.18 11.568 46.168 4.44 47.9843 47.5952 b 0 4.18 84.832 33.432 10.36 91.8639 91.1821
